t,cam1_x,cam1_y,cam1_src,cam2_x,cam2_y,cam2_src
218,1508.0,829.0,detected,615.0,499.0,detected
219,1474.0,784.0,detected,604.0,525.0,detected
220,1444.0,754.0,detected,592.0,555.0,detected
221,1414.0,731.0,detected,578.0,596.0,detected
222,1388.0,712.0,detected,562.0,641.0,detected
223,1346.0,701.0,detected,548.0,698.0,detected
224,1324.0,698.0,detected,559.0,685.3,inpaint
225,1328.0,709.0,detected,570.0,672.7,inpaint
226,1350.0,746.0,detected,581.0,660.0,detected
227,1376.0,788.0,detected,608.0,615.0,detected
228,1406.0,840.0,detected,630.0,578.0,detected
229,1440.0,904.0,detected,649.0,551.0,detected
230,1478.0,986.0,detected,664.0,529.0,detected
231,,,none,682.0,510.0,detected
232,,,none,694.0,499.0,detected
233,,,none,709.0,484.0,detected
234,,,none,720.0,476.0,detected
235,,,none,731.0,476.0,detected
236,,,none,735.0,476.0,detected
237,,,none,742.0,480.0,detected
238,,,none,754.0,484.0,detected
239,,,none,761.0,491.0,detected
240,,,none,761.0,506.0,detected
241,,,none,758.0,529.0,detected
242,,,none,758.0,521.0,detected
243,,,none,754.0,518.0,detected
244,,,none,750.0,514.0,detected
245,,,none,746.0,518.0,detected
246,,,none,746.0,518.0,detected
247,,,none,746.0,518.0,detected
248,,,none,742.0,525.0,detected
249,,,none,739.0,536.0,detected
250,,,none,739.0,551.0,detected
251,,,none,735.0,566.0,detected
252,,,none,735.0,589.0,detected
253,,,none,731.0,611.0,detected
254,,,none,728.0,622.0,detected
255,,,none,724.0,619.0,detected
256,,,none,724.0,619.0,detected
257,,,none,720.0,622.0,detected
258,,,none,716.0,630.0,detected
259,,,none,712.0,638.0,detected
260,,,none,709.0,656.0,detected
261,,,none,709.0,671.0,detected
262,,,none,705.0,694.0,detected
263,,,none,701.0,716.0,detected
264,,,none,698.0,720.0,detected
265,,,none,694.0,720.0,detected
266,1331.0,1069.0,detected,690.0,724.0,detected
267,1324.0,1058.0,detected,686.0,731.0,detected
268,1312.0,1039.0,detected,682.0,742.0,detected
269,1305.0,1024.0,detected,679.0,761.0,detected
270,1294.0,1016.0,detected,675.0,776.0,detected
271,1290.0,1009.0,detected,671.0,802.0,detected
272,1282.0,986.0,detected,668.0,829.0,detected
273,1279.0,964.0,detected,660.0,829.0,detected
274,1271.0,941.0,detected,656.0,836.0,detected
275,1268.0,919.0,detected,652.0,851.0,detected
276,1260.0,904.0,detected,652.0,855.0,detected
277,1256.0,889.0,detected,649.0,866.0,detected
278,1252.0,881.0,detected,,,none
279,1252.0,878.0,detected,,,none
280,1252.0,874.0,detected,,,none
281,1252.0,885.0,detected,,,none
282,1256.0,896.0,detected,,,none
283,1256.0,908.0,detected,,,none
284,1256.0,911.0,detected,,,none
285,1252.0,926.0,detected,,,none
286,1260.0,934.0,detected,,,none
