frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
107,1,2006.5,1106.1,0,,,5.513,19.580,,side-1
108,1,1997.8,1105.0,0,,,5.467,19.605,,side-1
109,1,1985.7,1103.1,0,,,5.404,19.647,,side-1
110,1,1976.5,1099.4,0,,,5.356,19.732,,side-1
111,1,1959.6,1091.2,0,,,5.268,19.922,,side-1
112,0,,,0,,,,,,lost
113,1,1968.7,1074.1,0,,,5.325,20.328,,side-1
114,1,1968.6,1071.0,0,,,5.326,20.403,,side-1
115,0,,,0,,,,,,lost
116,1,1947.0,1063.5,0,,,5.208,20.588,,side-1
117,1,1934.7,1067.2,0,,,5.139,20.496,,side-1
118,1,1938.5,1070.4,0,,,5.159,20.417,,side-1
119,1,1939.6,1067.7,0,,,5.166,20.483,,side-1
120,1,1937.1,1064.7,0,,,5.153,20.557,,side-1
121,1,1915.0,1055.6,0,,,5.031,20.784,,side-1
122,1,1906.2,1056.2,0,,,4.982,20.766,,side-1
123,0,,,0,,,,,,lost
124,0,,,0,,,,,,lost
125,0,,,0,,,,,,lost
126,1,1864.8,1045.9,1,2610.8,1967.5,4.748,21.027,,side-1
127,0,,,0,,,,,,lost
128,0,,,0,,,,,,lost
129,0,,,0,,,,,,lost
130,1,1830.1,1064.9,0,,,4.559,20.546,,side-1
131,0,,,0,,,,,,lost
132,0,,,0,,,,,,lost
133,1,1832.8,1055.8,0,,,4.570,20.773,,side-1
134,1,1879.7,1013.2,0,,,4.831,21.897,,side-1
135,1,1884.8,1004.0,0,,,4.860,22.151,,side-1
136,1,1870.7,961.8,0,,,4.770,23.390,,side-1
137,1,1861.4,959.5,0,,,4.712,23.460,,side-1
138,1,1852.6,945.1,0,,,4.653,23.915,,side-1
139,1,1833.8,961.9,0,,,4.541,23.385,,side-1
140,1,1775.0,978.5,0,,,4.190,22.879,,side-1
141,1,1776.7,969.8,0,,,4.193,23.141,,side-1
142,1,1770.1,971.3,0,,,4.154,23.094,,side-1
143,1,1783.8,964.8,0,,,4.233,23.293,,side-1
144,1,1786.0,971.4,0,,,4.252,23.091,,side-1
145,1,1802.3,968.2,0,,,4.350,23.190,,side-1
146,1,1740.0,954.4,0,,,3.951,23.612,,side-1
147,0,,,1,2535.0,2066.2,3.289,12.133,,side-2
148,0,,,0,,,,,,lost
149,0,,,0,,,,,,lost
150,0,,,1,1383.0,934.4,8.047,-2.821,,side-2
151,0,,,1,1402.5,952.5,7.866,-2.272,,side-2
152,1,1724.0,925.0,0,,,3.815,24.562,,side-1
153,1,1724.9,926.3,0,,,3.822,24.519,,side-1
154,1,1728.8,926.2,0,,,3.847,24.521,,side-1
155,0,,,0,,,,,,lost
156,0,,,0,,,,,,lost
157,0,,,0,,,,,,lost
158,0,,,0,,,,,,lost
