frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
110,1,1976.5,1099.4,0,,,5.400,19.791,,side-1
111,1,1959.6,1091.2,0,,,5.313,19.982,,side-1
112,0,,,0,,,,,,lost
113,1,1968.7,1074.1,0,,,5.371,20.391,,side-1
114,1,1968.6,1071.0,0,,,5.372,20.467,,side-1
115,0,,,0,,,,,,lost
116,1,1947.0,1063.5,0,,,5.256,20.654,,side-1
117,1,1934.7,1067.2,0,,,5.186,20.562,,side-1
118,1,1938.5,1070.4,0,,,5.206,20.482,,side-1
119,1,1939.6,1067.7,0,,,5.213,20.549,,side-1
120,1,1937.1,1064.7,0,,,5.200,20.623,,side-1
121,1,1915.0,1055.6,0,,,5.079,20.852,,side-1
122,1,1906.2,1056.2,0,,,5.030,20.835,,side-1
123,0,,,0,,,,,,lost
124,0,,,0,,,,,,lost
125,0,,,0,,,,,,lost
126,1,1864.8,1045.9,1,2610.8,1967.5,4.797,21.098,,side-1
127,0,,,0,,,,,,lost
128,0,,,0,,,,,,lost
129,0,,,0,,,,,,lost
130,1,1830.1,1064.9,0,,,4.605,20.615,,side-1
131,0,,,0,,,,,,lost
132,0,,,0,,,,,,lost
133,1,1832.8,1055.8,0,,,4.618,20.843,,side-1
134,1,1879.7,1013.2,0,,,4.882,21.975,,side-1
135,1,1884.8,1004.0,0,,,,,,lost
136,1,1870.7,961.8,0,,,,,,lost
137,1,1861.4,959.5,0,,,,,,lost
138,1,1852.6,945.1,0,,,,,,lost
139,1,1833.8,961.9,0,,,,,,lost
140,1,1775.0,978.5,0,,,,,,lost
141,1,1776.7,969.8,0,,,,,,lost
142,1,1770.1,971.3,0,,,,,,lost
143,1,1783.8,964.8,0,,,,,,lost
144,1,1786.0,971.4,0,,,,,,lost
145,1,1802.3,968.2,0,,,,,,lost
146,1,1740.0,954.4,0,,,,,,lost
147,0,,,1,2535.0,2066.2,6.720,7.853,,side-2
148,0,,,0,,,,,,lost
149,0,,,0,,,,,,lost
150,0,,,1,1383.0,934.4,,,,lost
151,0,,,1,1402.5,952.5,,,,lost
152,1,1724.0,925.0,0,,,,,,lost
153,1,1724.9,926.3,0,,,,,,lost
154,1,1728.8,926.2,0,,,,,,lost
155,0,,,0,,,,,,lost
156,0,,,0,,,,,,lost
157,0,,,0,,,,,,lost
158,0,,,0,,,,,,lost
159,1,1723.1,946.9,0,,,,,,lost
160,1,1720.7,948.1,0,,,,,,lost
161,1,1719.9,936.9,0,,,,,,lost
162,1,1713.8,959.9,0,,,,,,lost
163,1,1713.7,975.0,0,,,,,,lost
164,1,1710.5,1009.5,0,,,,,,lost
165,1,1707.4,1041.4,0,,,3.901,21.210,,side-1
166,1,1704.6,1108.8,0,,,3.949,19.571,,side-1
167,1,1703.9,1117.5,0,,,3.953,19.376,,side-1
168,1,1701.7,1164.3,0,,,3.982,18.377,,side-1
169,1,1699.3,1190.7,0,,,3.991,17.849,,side-1
170,1,1685.0,1142.5,0,,,3.878,18.830,,side-1
171,1,1682.4,1127.2,0,,,3.849,19.161,,side-1
172,1,1680.6,1102.1,0,,,3.815,19.725,,side-1
173,1,1677.4,1089.4,0,,,3.784,20.020,,side-1
174,1,1671.2,1069.6,0,,,3.729,20.497,,side-1
175,1,1669.4,1048.0,0,,,3.693,21.039,,side-1
176,1,1668.1,1039.7,0,,,3.675,21.253,,side-1
177,1,1665.0,1038.7,0,,,3.656,21.279,,side-1
178,1,1670.0,1038.4,0,,,3.685,21.287,,side-1
179,1,1688.7,1029.3,0,,,3.781,21.529,,side-1
180,1,1713.7,1013.3,0,,,3.909,21.965,,side-1
181,1,1736.0,1004.4,1,2219.3,2118.3,4.328,15.102,1.485,both (3D)
182,1,1788.6,1005.0,1,2113.2,1893.8,4.524,14.450,1.629,both (3D)
183,1,1791.0,1015.5,1,2126.2,1893.6,4.514,14.396,1.601,both (3D)
184,1,1839.5,1012.5,1,1961.4,1569.9,4.770,13.228,1.863,both (3D)
185,0,,,1,1964.9,1567.4,5.307,11.647,,side-2
186,1,1886.2,1039.7,1,1737.7,1201.4,4.918,21.259,,side-1
187,1,1966.9,1081.0,1,1699.9,1152.4,5.358,20.225,,side-1
188,1,1978.5,1095.1,0,,,5.413,19.892,,side-1
189,1,2025.1,1152.8,0,,,5.620,18.616,,side-1
190,1,2083.3,1219.7,1,1638.8,1106.2,5.854,17.301,,side-1
191,1,2132.1,1301.3,1,1617.1,1108.0,6.005,15.894,,side-1
